#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.15 -0.19  0.61439 -1.043 3.636  4.758  9.90  0.036 0.00 17.277 20.129 19.156 17.986 17.231 16.622 15.784 15.110 15.007  0.614 
 1   9.15 -0.15  1.04613  0.034 3.774  4.466  9.70  0.036 0.00 14.385 15.133 15.084 14.470 14.107 13.788 13.387 13.068 13.036  1.046 
 1   9.15 -0.05  0.24724 -2.049 3.554  5.041  9.50  0.035 0.00 19.393 23.703 22.379 20.911 19.900 18.772 17.665 17.087 16.858  0.247 
 1   9.15 -0.03  2.77197 -2.675 4.073  8.211 10.20  0.037 0.00 21.658 21.739 22.235 22.045 22.053 22.053 22.202 22.166 22.226  0.726 
 1   9.15  0.01  0.10310 -3.028 3.454  5.239  8.60  0.032 0.00 20.940 28.132 25.972 24.097 22.575 20.667 18.958 18.423 18.132  0.103 
 1   9.15  0.01  1.06718  0.043 3.770  4.447  8.70  0.032 0.00 13.362 14.204 14.088 13.440 13.066 12.744 12.334 12.010 11.976  1.067 
 1   9.15  0.01  0.10504 -3.001 3.457  5.233  9.80  0.036 0.00 22.073 29.143 27.027 25.168 23.668 21.786 20.101 19.565 19.276  0.105 
 1   9.15  0.05  0.21523 -2.183 3.541  5.063  9.60  0.036 0.00 19.827 24.386 23.016 21.513 20.461 19.233 18.066 17.500 17.259  0.215 
 1   9.15  0.05  0.42092 -1.579 3.579  4.903  9.70  0.036 0.00 18.416 22.169 21.050 19.732 18.779 17.762 16.715 16.114 15.937  0.421 
 1   9.15  0.11  0.47537 -1.454 3.587  4.865 14.20  0.038 0.86 22.035 25.739 24.633 23.335 22.391 21.387 20.342 19.726 19.557  0.475 
 1   9.15  0.17  0.18214 -2.377 3.517  5.090  9.30  0.035 0.00 20.013 25.072 23.594 22.016 20.873 19.477 18.194 17.647 17.390  0.182 
 1   9.15  0.19  0.11862 -2.876 3.464  5.191 11.40  0.038 0.00 23.360 30.092 28.107 26.293 24.851 23.036 21.410 20.875 20.586  0.119 
 1   9.15  0.23  0.58322 -1.177 3.614  4.782  9.60  0.036 0.00 17.314 20.608 19.511 18.278 17.440 16.667 15.730 15.035 14.920  0.583 
 1   9.15  0.29  0.16176 -2.523 3.499  5.112 10.20  0.037 0.00 21.276 26.788 25.196 23.549 22.325 20.800 19.417 18.879 18.609  0.162 
 1   9.15  0.35  0.50659 -1.383 3.591  4.835  9.80  0.036 0.00 18.028 21.631 20.555 19.316 18.394 17.398 16.347 15.685 15.542  0.507 
 1   9.17 -0.11  0.27587 -1.951 3.563  5.026  6.70  0.020 0.95 15.647 19.759 18.484 17.049 16.061 15.002 13.931 13.352 13.137  0.276 
 1   9.17 -0.07  0.48198 -1.415 3.596  4.868 13.90  0.038 0.83 21.677 25.199 24.104 22.799 21.892 21.016 20.031 19.403 19.244  0.482 
 1   9.17 -0.01  0.59482 -1.141 3.620  4.778  9.00  0.034 0.00 16.623 19.770 18.704 17.472 16.658 15.971 15.077 14.385 14.272  0.595 
 1   9.17  0.01  0.14354 -2.639 3.492  5.149  7.30  0.024 0.00 18.667 24.395 22.727 21.048 19.786 18.208 16.787 16.250 15.977  0.144 
 1   9.17  0.05  0.33880 -1.799 3.565  4.973 10.20  0.037 0.00 19.466 23.497 22.286 20.897 19.914 18.829 17.747 17.161 16.956  0.339 
 1   9.17  0.11  0.13678 -2.709 3.482  5.159 10.50  0.037 0.91 21.423 27.630 25.820 24.075 22.728 21.031 19.509 18.972 18.690  0.137 
 1   9.17  0.11  2.42415 -2.118 4.194  8.128 10.70  0.037 0.00 20.766 21.360 21.947 21.868 21.941 22.014 22.240 22.248 22.319  0.706 
 1   9.17  0.13  0.45825 -1.498 3.583  4.876  9.90  0.036 0.00 18.414 22.106 21.006 19.715 18.772 17.767 16.722 16.102 15.936  0.458 
 1   9.19 -0.25  0.24038 -2.041 3.564  5.061 10.30  0.037 0.00 20.172 24.276 22.979 21.522 20.537 19.529 18.476 17.896 17.682  0.240 
 1   9.19 -0.19  2.06088 -1.274 4.387  8.046  9.60  0.036 0.00 17.555 18.879 19.714 19.823 19.937 20.079 20.404 20.474 20.567  0.694 
 1   9.19 -0.09  0.41098 -1.585 3.584  4.919  9.80  0.036 0.00 18.534 22.182 21.063 19.734 18.802 17.871 16.864 16.257 16.085  0.411 
 1   9.19  0.07  0.26481 -2.010 3.551  5.019 11.10  0.038 0.00 20.894 25.264 23.938 22.466 21.446 20.283 19.158 18.581 18.347  0.265 
 1   9.19  0.15  0.23575 -2.118 3.540  5.036  9.40  0.035 0.75 19.014 23.737 22.339 20.816 19.733 18.444 17.230 16.671 16.423  0.236 
 1   9.19  0.23  0.23882 -2.113 3.539  5.030 10.70  0.037 0.00 20.753 25.350 23.980 22.475 21.414 20.168 18.987 18.422 18.180  0.239 
 1   9.19  0.29  0.14386 -2.658 3.485  5.138 11.60  0.038 0.00 23.014 28.990 27.259 25.547 24.239 22.596 21.118 20.582 20.303  0.144 
 1   9.21 -0.27  0.09169 -3.226 3.434  5.310 10.20  0.037 0.00 23.035 31.436 28.726 26.685 24.963 22.881 21.013 20.465 20.185  0.092 
 1   9.21 -0.23  0.69185 -0.814 3.663  4.689 10.20  0.037 0.00 17.004 19.382 18.571 17.515 16.862 16.338 15.589 14.970 14.888  0.692 
 1   9.21 -0.19  0.20336 -2.190 3.552  5.090  9.70  0.036 0.00 19.946 24.357 22.958 21.442 20.425 19.326 18.227 17.650 17.415  0.203 
 1   9.21 -0.19  0.36200 -1.703 3.582  4.972 10.50  0.037 0.00 19.528 23.202 22.064 20.711 19.775 18.862 17.863 17.267 17.086  0.362 
 1   9.21  0.03  0.13649 -2.703 3.486  5.165  7.70  0.026 0.00 19.227 25.176 23.439 21.729 20.428 18.796 17.330 16.794 16.517  0.136 
 1   9.21  0.05  0.11798 -2.867 3.470  5.201  9.60  0.036 0.00 21.538 28.074 26.146 24.355 22.951 21.182 19.601 19.065 18.779  0.118 
 1   9.21  0.13  0.18257 -2.369 3.519  5.092 11.20  0.038 0.00 21.894 26.906 25.439 23.868 22.734 21.353 20.080 19.532 19.277  0.183 
 1   9.21  0.15  0.27449 -1.991 3.548  5.007  9.90  0.036 0.00 19.648 24.056 22.722 21.245 20.219 19.041 17.906 17.331 17.095  0.274 
 1   9.21  0.43  0.22988 -2.146 3.537  5.038  8.90  0.033 0.00 19.035 23.662 22.284 20.775 19.708 18.450 17.262 16.700 16.457  0.230 
 1   9.23 -0.09  0.11182 -2.907 3.471  5.222 10.40  0.037 0.00 22.437 29.102 27.064 25.235 23.825 22.066 20.509 19.964 19.685  0.112 
 1   9.23 -0.03  0.08953 -3.275 3.421  5.294  9.70  0.036 0.83 22.362 31.477 28.665 26.579 24.730 22.518 20.326 19.732 19.409  0.090 
 1   9.23 -0.01  0.59577 -1.138 3.620  4.777 10.40  0.037 0.00 18.014 21.164 20.097 18.864 18.051 17.364 16.470 15.778 15.665  0.596 
 1   9.23 -0.01  0.11908 -2.851 3.473  5.203 11.10  0.038 0.00 22.998 29.421 27.524 25.744 24.363 22.624 21.072 20.534 20.251  0.119 
 1   9.23  0.01  0.37849 -1.683 3.573  4.938 10.10  0.037 0.90 18.452 22.361 21.189 19.826 18.855 17.802 16.738 16.152 15.957  0.378 
