Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.37 -0.05  0.25534 -2.021 3.555  5.033  8.60  0.038 0.00 18.421 22.694 21.384 19.924 18.917 17.799 16.697 16.118 15.892  0.255
 1   9.37  0.01  0.09324 -3.200 3.431  5.276  8.50  0.037 0.00 21.269 29.572 26.990 24.985 23.267 21.162 19.234 18.695 18.400  0.093
 1   9.37  0.01  0.13342 -2.727 3.484  5.173  8.90  0.038 0.74 20.098 26.404 24.581 22.827 21.462 19.736 18.168 17.631 17.348  0.133
 1   9.37  0.05  0.77515 -0.661 3.674  4.629 12.20  0.038 0.00 18.623 20.935 20.110 19.068 18.438 17.942 17.228 16.642 16.570  0.775
 1   9.37  0.11  0.18875 -2.323 3.525  5.085  5.80  0.028 0.00 16.377 21.230 19.800 18.254 17.148 15.812 14.575 14.024 13.775  0.189
 1   9.37  0.15  0.18464 -2.356 3.520  5.087  7.40  0.036 0.00 18.060 23.048 21.587 20.020 18.891 17.516 16.248 15.699 15.445  0.185
 1   9.37  0.23  0.24508 -2.089 3.540  5.022  7.30  0.035 0.00 17.292 21.858 20.495 18.995 17.939 16.702 15.528 14.962 14.721  0.245
 1   9.39 -0.43  0.09820 -3.078 3.460  5.294  9.80  0.038 0.00 22.264 30.083 27.376 25.332 23.760 21.895 20.327 19.752 19.507  0.098
 1   9.39 -0.41  0.26936 -1.912 3.580  5.046  8.20  0.037 0.00 17.750 21.446 20.278 18.882 17.942 17.081 16.100 15.515 15.325  0.269
 1   9.39 -0.39  0.21411 -2.113 3.566  5.093 12.60  0.038 0.00 22.654 26.716 25.409 23.936 22.956 22.004 20.974 20.395 20.182  0.214
 1   9.39 -0.31  0.08736 -3.353 3.414  5.334  7.50  0.036 0.00 20.653 29.942 26.929 24.808 22.925 20.687 18.585 18.036 17.741  0.087
 1   9.39 -0.29  0.19106 -2.249 3.549  5.109  2.70  0.011 0.00 13.094 17.580 16.120 14.572 13.549 12.463 11.370 10.795 10.557  0.191
